Id,year,region,totalPop,ave_gdp_percap,ave_life_expect
1,1990,East Asia & Pacific,1780171581,3194.589,68.86775
2,1990,Europe & Central Asia,841062141,11738.259,72.08404
3,1990,Latin America & Caribbean,445998222,5914.433,67.75793
4,1990,Middle East & North Africa,254531443,7140.301,65.79825
5,1990,North America,277473326,23567.362,75.43126
6,1990,South Asia,1132833314,1208.809,58.22083
7,1990,Sub-Saharan Africa,508274783,1725.345,49.9034
8,1991,East Asia & Pacific,1805445473,3440.606,69.0574
9,1991,Europe & Central Asia,844342182,11968.391,71.99009
10,1991,Latin America & Caribbean,454117634,6162.471,68.11233
11,1991,Middle East & North Africa,261076814,7276.862,66.37638
12,1991,North America,281211703,23968.449,75.58472
13,1991,South Asia,1157752321,1247.176,58.70829
14,1991,Sub-Saharan Africa,522658547,1669.147,49.89763
15,1992,East Asia & Pacific,1828962351,3662.452,69.22872
16,1992,Europe & Central Asia,847708966,11948.623,71.9153
17,1992,Latin America & Caribbean,462201058,6312.244,68.47922
18,1992,Middle East & North Africa,265336498,7621.093,66.83972
19,1992,North America,285092192,24986.764,75.78754
20,1992,South Asia,1182862267,1321.589,59.20467
21,1992,Sub-Saharan Africa,537401088,1632.526,49.89589
22,1993,East Asia & Pacific,1851643425,3896.8,69.41822
23,1993,Europe & Central Asia,850676140,12009.252,71.59287
24,1993,Latin America & Caribbean,470263697,6898.356,68.85601
25,1993,Middle East & North Africa,271312554,7756.956,67.30991
26,1993,North America,288811320,25942.95,75.64574
27,1993,South Asia,1208123497,1382.738,59.70158
28,1993,Sub-Saharan Africa,552474255,1629.913,49.89416
29,1994,East Asia & Pacific,1874414310,4175.266,69.63163
30,1994,Europe & Central Asia,852497017,12176.424,71.65831
31,1994,Latin America & Caribbean,478310786,7240.189,69.24286
32,1994,Middle East & North Africa,277344152,7856.325,67.73837
33,1994,North America,292297226,27246.158,75.8429
34,1994,South Asia,1233480616,1466.861,60.19433
35,1994,Sub-Saharan Africa,567849593,1647.565,49.89902
36,1995,East Asia & Pacific,1896917329,4478.348,69.8286
37,1995,Europe & Central Asia,853987473,12473.232,71.84865
38,1995,Latin America & Caribbean,486343677,7328.801,69.63543
39,1995,Middle East & North Africa,284973163,8434.081,68.16096
40,1995,North America,295691746,28242.373,75.85585
41,1995,South Asia,1258903823,1569.105,60.67876
42,1995,Sub-Saharan Africa,583503523,1688.455,49.90611
43,1996,East Asia & Pacific,1919182682,4787.105,70.1166
44,1996,Europe & Central Asia,855160755,12922.66,72.20308
45,1996,Latin America & Caribbean,494384205,7564.025,70.02934
46,1996,Middle East & North Africa,290950450,8854.137,68.52792
47,1996,North America,299126029,29455.556,76.24547
48,1996,South Asia,1284343918,1673.085,61.15059
49,1996,Sub-Saharan Africa,599459137,1762.756,49.92014
50,1997,East Asia & Pacific,1940987063,5042.047,70.40437
51,1997,Europe & Central Asia,856510660,13504.737,72.59284
52,1997,Latin America & Caribbean,502390020,7937.623,70.41881
53,1997,Middle East & North Africa,296986652,9178.242,68.85883
54,1997,North America,302704697,30928.981,76.63251
55,1997,South Asia,1309774343,1730.669,61.61027
56,1997,Sub-Saharan Africa,615751507,1808.089,49.95571
57,1998,East Asia & Pacific,1962063288,5015.738,70.70632
58,1998,Europe & Central Asia,857709897,14154.963,72.81325
59,1998,Latin America & Caribbean,510356845,7938.73,70.79594
60,1998,Middle East & North Africa,303006934,9546.824,69.16471
61,1998,North America,306162843,32273.592,76.78622
62,1998,South Asia,1335193652,1810.799,62.05757
63,1998,Sub-Saharan Africa,632437265,1820.135,50.01995
64,1999,East Asia & Pacific,1981853907,5247.434,71.03573
65,1999,Europe & Central Asia,859084460,14686.407,72.91858
66,1999,Latin America & Caribbean,518188225,8020.688,71.15822
67,1999,Middle East & North Africa,309069358,9936.338,69.46927
68,1999,North America,309600485,33935.258,76.80955
69,1999,South Asia,1360594891,1942.565,62.48938
70,1999,Sub-Saharan Africa,649600908,1840.477,50.13715
71,2000,East Asia & Pacific,2000694556,5629.476,71.40635
72,2000,Europe & Central Asia,860243183,15824.941,73.03456
73,2000,Latin America & Caribbean,525886558,8436.086,71.50723
74,2000,Middle East & North Africa,315122478,10652.854,69.74451
75,2000,North America,312993944,35736.719,76.89243
76,2000,South Asia,1385959570,2030.376,62.90516
77,2000,Sub-Saharan Africa,667303361,1898.431,50.32665
78,2001,East Asia & Pacific,2018871629,5938.537,71.77482
79,2001,Europe & Central Asia,861744170,16652.043,73.35111
80,2001,Latin America & Caribbean,533449671,8616.547,71.8273
81,2001,Middle East & North Africa,321163368,10921.724,70.01303
82,2001,North America,316113359,36568.275,77.09747
83,2001,South Asia,1411288216,2127.686,63.30459
84,2001,Sub-Saharan Africa,685347923,1967.447,50.60743
85,2002,East Asia & Pacific,2036127122,6302.931,72.12391
86,2002,Europe & Central Asia,863439681,17363.523,73.41066
87,2002,Latin America & Caribbean,540884684,8748.342,72.12886
88,2002,Middle East & North Africa,327207928,11170.327,70.25542
89,2002,North America,319050105,37448.107,77.19766
90,2002,South Asia,1436527869,2182.266,63.69016
91,2002,Sub-Saharan Africa,703548709,2004.181,50.99127
92,2003,East Asia & Pacific,2052580068,6717.207,72.46096
93,2003,Europe & Central Asia,865721702,18039.495,73.51815
94,2003,Latin America & Caribbean,548225528,8925.145,72.40798
95,2003,Middle East & North Africa,333373436,11620.42,70.48672
96,2003,North America,321847258,38941.146,77.31265
97,2003,South Asia,1461601023,2344.62,64.06678
98,2003,Sub-Saharan Africa,722369527,2091.492,51.47422
99,2004,East Asia & Pacific,2068447258,7292.75,72.78879
100,2004,Europe & Central Asia,868315097,19156.602,73.94559
101,2004,Latin America & Caribbean,555515431,9573.219,72.66972
102,2004,Middle East & North Africa,339823622,12694.154,70.72502
103,2004,North America,324864038,41118.368,77.74935
104,2004,South Asia,1486402311,2547.69,64.43612
105,2004,Sub-Saharan Africa,741840464,2348.621,52.05054
106,2005,East Asia & Pacific,2083988624,7927.07,73.06721
107,2005,Europe & Central Asia,870966111,20382.778,74.10023
108,2005,Latin America & Caribbean,562783235,10237.36,72.91683
109,2005,Middle East & North Africa,346657300,13522.427,70.94859
110,2005,North America,327892753,43503.575,77.76444
111,2005,South Asia,1510864613,2814.009,64.8032
112,2005,Sub-Saharan Africa,762002566,2489.815,52.70596
113,2006,East Asia & Pacific,2099209976,8709.038,73.35043
114,2006,Europe & Central Asia,873647564,22559.075,74.58459
115,2006,Latin America & Caribbean,570029991,11080.953,73.15258
116,2006,Middle East & North Africa,353917337,14537.904,71.18619
117,2006,North America,331014940,45604.11,77.95676
118,2006,South Asia,1534949611,3100.514,65.17355
119,2006,Sub-Saharan Africa,782879376,2674.016,53.42138
120,2007,East Asia & Pacific,2113722000,9647.462,73.59063
121,2007,Europe & Central Asia,876646494,24145.428,74.93245
122,2007,Latin America & Caribbean,577248307,11847.821,73.37902
123,2007,Middle East & North Africa,361549578,15532.241,71.41089
124,2007,North America,334184023,47212.524,78.24845
125,2007,South Asia,1558685624,3384.913,65.54852
126,2007,Sub-Saharan Africa,804469172,2858.933,54.16783
127,2008,East Asia & Pacific,2128418789,10279.761,73.80899
128,2008,Europe & Central Asia,880129893,25724.893,75.17828
129,2008,Latin America & Caribbean,584435842,12429.156,73.59681
130,2008,Middle East & North Africa,369452647,16276.554,71.63544
131,2008,North America,337405012,47602.871,78.3138
132,2008,South Asia,1582147481,3529.942,65.92807
133,2008,Sub-Saharan Africa,826755847,2996.941,54.91555
134,2009,East Asia & Pacific,2142725463,10685.266,74.02701
135,2009,Europe & Central Asia,883770601,25014.611,75.56387
136,2009,Latin America & Caribbean,591577623,12300.931,73.81807
137,2009,Middle East & North Africa,377485338,16374.693,71.85783
138,2009,North America,340465736,46187.764,78.65922
139,2009,South Asia,1605443788,3768.171,66.31067
140,2009,Sub-Saharan Africa,849703613,3034.709,55.64242
141,2010,East Asia & Pacific,2156964851,11609.677,74.19992
142,2010,Europe & Central Asia,887253276,25914.413,75.85634
143,2010,Latin America & Caribbean,598662940,12992.651,74.03897
144,2010,Middle East & North Africa,385417024,17046.694,72.06996
145,2010,North America,343417261,47553.066,78.82594
146,2010,South Asia,1628688562,4093.789,66.69295
147,2010,Sub-Saharan Africa,873289791,3162.992,56.32741
148,2011,East Asia & Pacific,2171288002,12489.942,74.35953
149,2011,Europe & Central Asia,890976693,27502.654,76.38598
150,2011,Latin America & Caribbean,605666731,13803.65,74.26334
151,2011,Middle East & North Africa,393274154,17567.927,72.26337
152,2011,North America,346126201,48967.524,78.9106
153,2011,South Asia,1651888921,4376.239,67.06995
154,2011,Sub-Saharan Africa,897503371,3299.59,56.95818
155,2012,East Asia & Pacific,2185901380,13362.761,74.55463
156,2012,Europe & Central Asia,893196694,28179.927,76.57023
157,2012,Latin America & Caribbean,612609865,14306.188,74.4875
158,2012,Middle East & North Africa,401032763,18184.562,72.45397
159,2012,North America,348918897,50508.187,79.02297
160,2012,South Asia,1675019307,4641.064,67.43539
161,2012,Sub-Saharan Africa,917462006,3424.65,57.51066
162,2013,East Asia & Pacific,2200670458,14239.152,74.73991
163,2013,Europe & Central Asia,898996744,28703.217,76.8011
164,2013,Latin America & Caribbean,619484449,14702.945,74.71364
165,2013,Middle East & North Africa,408731939,18447.589,72.65944
166,2013,North America,351647895,51822.574,79.13406
167,2013,South Asia,1698093032,4942.416,67.7863
168,2013,Sub-Saharan Africa,942816296,3555.313,58.0415
169,2014,East Asia & Pacific,2215635403,15046.415,74.92733
170,2014,Europe & Central Asia,902126822,29350.884,76.9036
171,2014,Latin America & Caribbean,626256018,14721.382,74.94196
172,2014,Middle East & North Africa,416401841,19838.178,72.85437
173,2014,North America,354516198,53458.51,79.2441
174,2014,South Asia,1721152580,5293.757,68.12104
175,2014,Sub-Saharan Africa,968747541,3689.877,58.52419
